year,songtitle,artistname,songID,artistID,timesignature,timesignature_confidence,loudness,tempo,tempo_confidence,key,key_confidence,energy,pitch,timbre_0_min,timbre_0_max,timbre_1_min,timbre_1_max,timbre_2_min,timbre_2_max,timbre_3_min,timbre_3_max,timbre_4_min,timbre_4_max,timbre_5_min,timbre_5_max,timbre_6_min,timbre_6_max,timbre_7_min,timbre_7_max,timbre_8_min,timbre_8_max,timbre_9_min,timbre_9_max,timbre_10_min,timbre_10_max,timbre_11_min,timbre_11_max,Top10
2003,Water,Melanie C,SOAHYHM12A6D4F97D6,AR0VAZ71187FB5AAD6,4,1.0,-6.192,83.789,0.46299999999999997,4,0.575,0.673361355,0.002,0.0,56.364,-226.498,171.13,-159.468,150.505,-181.542,348.97,-54.521,145.362,-98.71600000000001,121.835,-75.237,85.34200000000001,-82.639,126.495,-69.859,54.178999999999995,-57.692,50.662,-93.851,49.405,-48.711000000000006,37.111999999999995,0
2009,Sorrow,Yngwie Malmsteen,SOLZQPE1311AFEB3CE,ARWVYIM11F4C8411E4,4,0.63,-9.174,91.413,0.08800000000000001,6,0.7929999999999999,0.482885946,0.003,9.476,52.797,-142.349,126.12299999999999,-109.156,101.541,-258.125,94.292,-30.91,94.992,-78.428,211.43400000000003,-96.641,74.196,-64.91,94.727,-40.897,38.668,-81.719,83.838,-59.03,37.154,-62.93,48.128,0
2001,Pour Me,Trick Pony,SOBUVNS12AB0187E20,AR0H5TJ1187FB53338,4,0.996,-4.942,91.068,0.9690000000000001,5,0.5589999999999999,0.8991327570000001,0.017,0.0,57.251000000000005,-65.13600000000001,188.35,-148.058,157.898,-158.392,398.62800000000004,-55.172,108.427,-99.81299999999999,114.98700000000001,-76.89699999999999,81.512,-69.607,115.73299999999999,-56.545,53.273,-82.18,77.113,-82.305,40.015,-41.56399999999999,51.62,0
1997,ValuJet,Anal Cunt,SOOGPNG12AB017C3C3,ARL14X91187FB4CF14,4,0.987,-9.969,122.09100000000001,0.122,11,0.519,0.966014257,0.037000000000000005,4.746,51.937,74.821,250.68,-113.24,131.553,-152.909,366.06699999999995,-133.599,46.347,-93.052,26.57,-65.63,63.942,-29.464000000000002,99.43799999999999,-74.991,13.245,-47.873999999999995,32.583,-130.938,105.37100000000001,-29.113000000000003,47.17100000000001,0
2001,Satellites,Embrace,SONFTQY12A6310F22C,AR559CG1187FB4903D,4,0.912,-12.579,72.946,0.287,2,0.77,0.36752533600000004,0.002,0.0,54.542,-173.03799999999998,171.13,-122.119,90.834,-189.15200000000002,267.541,-56.07899999999999,105.396,-184.389,68.656,-69.623,76.354,-91.404,74.48899999999999,-58.21,62.958999999999996,-74.441,57.751000000000005,-57.354,29.585,-50.675,29.258000000000003,0
2005,Confessions of a Broken Heart (Daughter to Father),Lindsay Lohan,SOYCRTI1366C751570,ARUBDKR1187FB3FC29,4,0.97,-5.073,120.03399999999999,0.728,11,0.765,0.7422561390000001,0.005,0.0,59.748000000000005,-127.262,220.079,-88.462,203.388,-139.112,113.546,-70.256,101.26,-77.46600000000001,135.80200000000002,-70.0,95.675,-82.535,98.00399999999999,-81.317,39.361,-58.782,67.053,-69.486,44.723,-62.476000000000006,46.998000000000005,0
1998,Clavicle,Alkaline Trio,SOKCGCI1376ED7E355,ARC1SV21187FB4CF26,4,0.52,-4.268,110.088,0.782,2,0.022000000000000002,0.937829331,0.006999999999999999,0.0,58.378,-97.95,171.13,-123.161,142.645,-342.70300000000003,198.231,-60.428000000000004,79.226,-82.336,184.93400000000003,-104.738,75.706,-62.909,58.593999999999994,-45.4,60.744,-34.11,80.275,-91.406,24.601,-46.24100000000001,35.623000000000005,0
2007,Thick as Thieves,Dashboard Confessional,SODYOQJ1288D3E9535,ARMKNC21187FB4696B,4,1.0,-5.324,84.949,0.852,1,0.28800000000000003,0.8640738020000001,0.013000000000000001,0.223,56.879,-62.99100000000001,219.946,-177.9,111.35,-96.796,393.43800000000005,-63.031000000000006,86.35600000000001,-194.639,36.574,-73.117,89.18,-70.759,79.483,-71.43,37.171,-52.942,50.61,-115.389,47.174,-49.945,49.104,0
2007,The Hard Way,The Wildhearts,SOBYRCA1312FE01327,ARYCGI21187B9AEACC,4,0.892,-6.391,143.89600000000002,0.033,3,0.638,0.889803894,0.008,0.47,56.75,-85.163,185.35,-159.727,114.10799999999999,-211.843,92.60600000000001,-80.09,62.93899999999999,-94.24,127.209,-84.47399999999999,57.794,-75.985,111.863,-64.455,41.033,-34.333,50.858999999999995,-93.806,29.816,-34.359,83.573,0
2003,Come Downstairs and Say Hello,Guster,SOLTKES13134389A6C,AR57LEA1187B9AD137,4,0.778,-17.031,162.132,0.266,2,0.39,0.245028854,0.001,0.23399999999999999,51.43899999999999,-203.437,165.91099999999997,-174.33700000000002,101.71600000000001,-158.187,103.322,-72.494,83.913,-108.944,104.544,-70.73899999999999,55.01,-56.974,44.08,-65.281,50.292,-47.85,59.305,-89.81700000000001,26.901999999999997,-64.014,39.628,0
1990,Lovely,The Mission,SOGIQDQ1315CD44678,AR72HPG1187B9A1496,4,1.0,-18.278,111.787,0.821,7,0.8540000000000001,0.45693796600000003,0.013999999999999999,0.0,47.284,-74.209,203.328,-46.31399999999999,125.911,-159.783,82.353,-52.513000000000005,139.00799999999998,-76.17399999999999,90.53399999999999,-90.009,56.838,-64.219,61.302,-73.77199999999999,73.033,-33.116,44.708999999999996,-50.313,22.156,-50.153999999999996,50.611000000000004,0
2007,Soul Back Driver,The Cliks,SOOGPOU131634AA1D7,ARXK6E71187FB4AA1E,3,1.0,-5.3260000000000005,125.235,0.7290000000000001,11,0.754,0.43285490600000004,0.01,1.288,57.897,-130.945,328.42900000000003,-150.662,178.685,-257.143,404.03,-71.994,100.25,-91.04899999999999,122.397,-84.334,72.736,-85.63,135.234,-64.612,59.53,-80.258,88.60700000000001,-98.70299999999999,57.544,-63.101000000000006,34.748000000000005,0
1998,Home,Kristin Hersh,SOAWMXO12B0B808860,ARSFARZ1187FB3C60F,4,0.72,-11.422,76.038,0.077,9,0.541,0.157992621,0.011000000000000001,0.0,53.391999999999996,-127.25299999999999,181.253,-121.141,81.553,-225.40400000000002,202.60299999999998,-38.512,103.764,-76.191,99.432,-60.758,65.202,-87.56299999999999,77.84,-33.092,52.776,-59.331,75.018,-56.655,40.63,-20.83,67.41,0
2008,The Backstage ,eMC,SOIMTKX1312A8A54F5,ARZ6VT31187FB44B16,4,1.0,-16.179000000000002,93.934,0.16699999999999998,7,0.0,0.167494809,0.001,0.003,49.168,-228.218,184.641,-228.797,189.093,-320.607,212.31400000000002,-96.874,67.939,-182.135,200.266,-84.75,74.15,-90.641,115.535,-53.976000000000006,71.661,-68.527,97.581,-121.83,66.521,-61.383,49.5,0
1999,Otsegolation,Static-X,SOFOZQR13134399A45,ARHRY5S1187B99B96F,4,1.0,-5.225,129.99200000000002,0.435,0,0.777,0.975707234,0.025,0.441,56.038000000000004,-250.601,164.33599999999998,-123.095,70.851,-90.62799999999999,347.983,-72.639,69.205,-98.029,45.923,-53.54,75.895,-60.074,121.331,-46.074,35.732,-71.366,55.075,-136.54399999999998,62.07899999999999,-47.308,24.383000000000003,0
1998,Travel To Romantis,Ace of Base,SOOMRGJ12A8C144D95,AR2IKF71187FB4D0C2,4,1.0,-3.888,127.0,1.0,11,0.22699999999999998,0.991342142,0.006999999999999999,0.0,58.315,-152.415,177.25599999999997,-81.19800000000001,92.234,-114.163,322.591,-43.625,118.48899999999999,-90.389,60.328,-92.12799999999999,65.906,-81.215,99.059,-75.58800000000001,33.277,-63.333999999999996,54.208,-115.286,33.974000000000004,-45.18600000000001,55.032,0
2007,Indigo Children,Puscifer,SOEQUZI131343A5D6A,ARK7HOG1187B9A667E,4,0.988,-8.322000000000001,78.01100000000001,0.743,2,0.303,0.7895545759999999,0.015,0.518,55.068999999999996,-147.40200000000002,250.847,-142.849,121.353,-164.428,128.15,-93.86,156.35399999999998,-114.09299999999999,192.07299999999998,-58.208,87.58,-76.123,87.235,-77.007,56.263000000000005,-67.101,41.516999999999996,-92.339,61.361999999999995,-52.857,42.732,0
2002,Independent Women Part II,Destiny's Child,SOYPUUR12B0B8075D9,ARKWI7M1187B9B7713,4,1.0,-5.7589999999999995,132.67700000000002,0.932,1,0.079,0.511978633,0.003,5.016,58.49100000000001,-122.816,254.655,-198.25599999999997,137.325,-201.138,354.092,-102.508,119.12200000000001,-233.78,205.127,-119.119,57.321999999999996,-85.03200000000001,84.99799999999999,-62.558,54.652,-91.39399999999999,73.763,-137.847,110.60600000000001,-57.483999999999995,58.261,0
2010,Meridian,Shearwater,SOAGTMZ12AF72A92CD,ARM6D9O1187B9ABC29,4,0.9620000000000001,-19.007,115.831,0.81,11,0.39799999999999996,0.245577718,0.005,0.0,48.525,-223.62900000000002,190.954,-128.989,193.495,-207.62900000000002,308.595,-72.21300000000001,86.677,-188.468,86.573,-75.512,90.90799999999999,-89.439,126.887,-65.564,55.19,-109.524,41.93,-59.011,40.772,-47.446000000000005,46.284,0
2006,Wham!,Various artists,SOZFIIV134EE36AAC7,ARAGWS81187FB3F768,1,0.0,-42.451,166.597,0.198,1,0.102,0.13964359099999998,0.099,0.0,16.623,51.82,212.96099999999998,-17.329,110.53200000000001,-107.896,90.71,-16.469,80.808,-50.067,63.034,-65.62,30.958000000000002,-50.011,35.121,-65.252,32.226,-32.257,50.599,-46.96,21.676,-44.035,33.726,0
2006,It's All Over,Various Artists,SOJNHEC1393733848F,ARAGWS81187FB3F768,4,1.0,-6.465,86.0,0.423,0,0.48100000000000004,0.738826518,0.009000000000000001,0.1,54.68,-53.293,181.824,-151.815,140.126,-152.209,101.939,-36.289,107.322,-88.92299999999999,183.727,-86.626,89.92299999999999,-77.124,91.559,-61.401,32.203,-57.86600000000001,54.998999999999995,-70.158,60.306999999999995,-54.496,50.989,0
2010,I Like the Way This Is Going,Eels,SODJBRF1313438AAFC,ARZGTK71187B9AC7F5,4,0.914,-13.181,84.96,0.8029999999999999,9,0.439,0.23465168600000003,0.001,0.0,52.849,-200.356,171.13,-82.837,145.833,-144.775,104.954,-70.124,95.635,-70.442,90.682,-57.443000000000005,85.116,-63.435,91.605,-71.595,28.291,-47.89,32.262,-83.969,35.282,-56.313,35.019,0
1992,The Act We Act,Sugar,SOXLBBV13B15FCE184,AR0REL71187B9B7AD0,4,0.8190000000000001,-6.405,124.556,0.87,9,0.522,0.979308115,0.038,0.0,56.077,-14.274000000000001,171.13,-90.404,134.496,-317.522,316.347,-71.582,57.49100000000001,-60.217,224.775,-60.383,48.956,-44.636,121.36200000000001,-66.164,14.667,-46.13,47.117,-185.979,19.141,-27.724,43.95399999999999,0
1993,Red House,various artists,SOOMEKS12AC468D650,ARAGWS81187FB3F768,1,0.21,-15.959000000000001,126.954,0.32299999999999995,8,0.39799999999999996,0.416462857,0.006999999999999999,2.27,47.133,-171.114,156.006,-152.909,211.915,-263.462,335.848,-140.77100000000002,121.116,-204.262,172.94099999999997,-112.771,71.146,-81.69800000000001,107.134,-86.23100000000001,102.434,-80.829,86.961,-78.625,81.574,-103.5,61.608000000000004,0
2005,Hit the Fence,Transplants,SOBNXAK12A6701F268,ARF4WYR1187FB3838D,4,1.0,-7.643,95.99600000000001,1.0,7,0.018000000000000002,0.850593536,0.01,0.243,55.016000000000005,-70.73899999999999,180.227,-110.76700000000001,97.96,-122.57700000000001,109.87,-60.176,120.465,-88.238,80.509,-66.187,58.293,-75.933,78.69800000000001,-78.046,33.565,-44.818000000000005,55.358000000000004,-74.392,36.766999999999996,-55.961999999999996,30.455,0
2008,Inner City Pressure,Flight of the Conchords,SOOUCHS1315CD4DE5F,AR1FQLN1187FB3996C,4,1.0,-8.507,115.009,0.951,1,0.433,0.717412499,0.001,0.0,55.403999999999996,-256.117,228.41299999999998,-173.055,105.90799999999999,-145.189,149.371,-72.72399999999999,136.625,-121.045,80.753,-64.995,69.194,-103.118,157.39600000000002,-53.158,56.335,-61.739,87.845,-57.278999999999996,52.406000000000006,-45.873999999999995,47.728,0
1997,You Are an Orphan,Anal Cunt,SOBEZAT1311AFD6493,ARL14X91187FB4CF14,4,0.66,-10.806,96.883,0.602,11,0.662,0.861167908,0.01,0.134,51.849,79.298,199.43,-111.23200000000001,198.21400000000003,-333.407,321.592,-88.712,52.705,-67.48,76.43,-59.02,105.05799999999999,-20.448,106.09,-59.869,13.077,-39.766,42.556000000000004,-113.999,21.596,-23.373,60.155,0
2006,Crowd Chant,Joe Satriani,SOJVOVP1373134D534,ARNZ70R1187B9A4824,4,1.0,-8.577,120.554,0.88,1,0.562,0.95779849,0.027000000000000003,25.316999999999997,53.106,-47.827,186.204,-136.74,202.967,-98.015,380.04400000000004,-110.598,114.551,-251.22099999999998,40.649,-84.835,71.061,-49.723,87.89299999999999,-47.148999999999994,55.588,-67.267,50.885,-48.067,48.758,-41.501999999999995,61.708,0
2010,You Make the Rain Fall,Kevin Rudolf,SORAARG12B3A1ABE61,ARA6XCO1187FB4D74E,4,0.9840000000000001,-4.191,67.452,0.037000000000000005,10,0.045,0.963647171,0.009000000000000001,0.327,58.016000000000005,-59.20399999999999,378.35699999999997,-159.857,178.03099999999998,-165.706,139.05200000000002,-56.143,104.101,-139.82299999999998,118.915,-93.435,70.975,-68.771,98.585,-86.3,57.083,-48.32899999999999,72.119,-127.988,31.588,-55.376000000000005,50.283,0
1996,Car,Catherine Wheel,SOFYNRP12AB0182A79,ARN2K2J1187B9B1E05,4,0.8009999999999999,-23.65,123.43,0.38299999999999995,9,0.836,0.057861794,0.002,0.0,48.537,-178.532,202.7,-195.59099999999998,48.129,-201.99400000000003,231.713,-81.86399999999999,82.074,-133.963,85.249,-75.488,41.403,-107.178,117.762,-59.214,78.252,-68.96600000000001,68.031,-69.858,38.208,-47.086999999999996,54.207,0
1993,Ain't No Thang,Toby Keith,SOARHXB12AB0182D54,ARHATLI1187FB52C76,4,1.0,-8.264,81.999,0.361,9,0.391,0.56667582,0.003,0.0,57.141999999999996,-80.958,217.299,-95.235,161.96200000000002,-168.127,158.841,-64.985,122.57,-86.973,110.06700000000001,-78.388,48.996,-50.358999999999995,107.626,-70.58,59.428000000000004,-53.417,56.208999999999996,-57.911,59.08,-37.150999999999996,72.351,0
